"FIPS","violent_crime_rate","property_crime_rate"
22001,244.0916879506,1011.92977918593
22003,143.767485234691,1841.77805408766
22005,352.288951106002,2859.10296108134
22007,466.709484050525,1943.90922714622
22009,361.01083032491,1914.30742922288
22011,259.515570934256,1551.51244558544
22013,139.538128793693,1276.77387846229
22015,443.064886469938,2931.37171528191
22017,640.383682538689,4027.33659849469
22019,630.789133247089,4246.31306597671
22021,256.688715569158,3080.26458682989
22023,176.626435089785,2060.64174271416
22025,2157.7882670263,2273.38406704556
22027,524.689558677782,2291.14440622632
22029,633.518909579574,2298.90574006527
22031,1062.39712703876,2330.54017656741
22033,720.416643983523,4913.84942021885
22035,685.197155785391,1124.75759534583
22037,59.4618700758139,520.291363163371
22039,320.95639115456,3121.22729012691
22041,52.7932424649645,969.475907083893
22043,98.5618923883338,1254.42408494243
22045,616.93009035569,3147.43537247837
22047,1171.25483030285,2725.93835185573
22049,24.5443946738664,834.509418911456
22051,507.711577302959,3720.13699199956
22053,357.165433971806,2525.44408622543
22055,644.153552522597,4451.00651805971
22057,169.652832374726,2596.51591012538
22059,201.139792155548,851.49178679182
22061,420.517855999317,3526.37308685722
22063,241.733642172027,2903.9128204331
22065,785.123966942149,2966.94214876033
22067,512.765347102697,6572.71944922547
22069,582.086908106193,3907.57472224331
22071,747.48897159197,3711.86757288808
22073,422.828861479706,5370.12139280217
22075,164.338537387017,1254.16252216408
22077,623.819355972411,2508.45670605808
22079,702.691627649322,4922.63562479606
22081,806.362531757428,1513.31050480504
22083,207.188975619158,2269.44203527031
22085,313.557224193415,2599.22435844542
22087,274.471438665145,3752.92135442144
22089,228.932531123472,2673.40220229311
22091,785.854616895874,2366.49401678871
22093,771.674988651838,2287.78937812074
22095,190.45534150613,2703.59019264448
22097,599.956889325318,3615.3090795871
22099,309.923284421572,1254.99799123797
22101,628.469868259523,4016.34388112208
22103,196.094312838636,1974.15817990374
22105,1151.66621422637,6417.24866941421
22107,133.740924722965,878.868933893772
22109,558.458904416576,4100.14611364594
22111,395.256916996047,1005.70926657883
22113,659.264996987693,1767.79413030381
22115,358.354979996587,1873.3053980774
22117,634.523152667544,3911.1243156063
22119,235.34549689441,1596.46739130435
22121,450.958286358512,2755.85619441313
22123,1061.80939226519,4316.29834254144
22125,243.246703367046,1062.60401997183
22127,1040.30358544884,2728.3433656111
